"Model","Unit","Lesson","Word (EN)","Description (EN)","Word (ES)","Description (ES)"
"Grade 6",1,1,"Carbon dioxide","A colorless, odorless gas that is produced naturally when dead animals or plants decay and is used by plants during photosynthesis. Carbon dioxide is also released into the atmosphere by burning fossil fuels such as coal, oil, and natural gas.","Dióxido de carbono","Un gas sin color ni olor que es producido naturalmente por animales muertos o plantas deteriodadas, que es usado por plantas durante el proceso de fotosíntesis. El dióxido de carbono es liberado hacia la atmósfera por la quema de combustibles fósiles como el carbono, petróleo, y gas natural."
"Grade 6",1,1,"Climate change","Changes in climate (temperature, rainfall, winds) of the past, present or future associated with natural or anthropogenic (human) factors.","Cambio Climático","Cambios en el clima (temperatura, lluvia, vientos) del pasado, presente o futuro asociados con factores naturales o antropogénicos (humanos)."
"Grade 6",1,1,"Molecule","Comprised of two or more atoms (the building blocks of all things). One characteristic of molecules is how quickly they vibrate and move when temperatures increase.","Molécula","Compuesta de dos o más átomos (componentes esenciales de todas las cosas). Una característica de los átomos es lo rápido que vibran y se mueven cuando la temperatura incrementa."
"Grade 6",1,8,"Greenhouse effect","A phenomenon in which greenhouse gases absorb the Earth`s energy and re-emit some of that energy back toward the Earth`s surface, providing additional warming of the Earth. Although the Sun`s energy is able to pass through the greenhouse gases, these same greenhouse gases trap the Earth`s outgoing energy.","Efecto invernadero","Fenómeno en el cual gases de effecto invernadero absorben la energía de la tierra, y reemiten parte de esa energía de vuelta hacia la superficie de la Tierra, proporcionando un calentamiento adicional a la Tierra. Aunque la energía del sol es capaz de pasar a través de los gases de effecto invernadero, estos mismos gases atrapan la energía emitida por la Tierra."
"Grade 6",1,8,"Greenhouse gas","In an atmosphere, a heat-trapping gas that absorbs and emits radiation within the thermal infrared range.","Gas de efecto invernadero","En la atmósfera, un gas que atrapa calor y absorbe y emite radiación dentro del rango termal infrarojo."
"Grade 6",1,9,"Albedo","The fraction of light reflected by an object or a surface; an indication of how reflective a surface is. For example, if you are wearing a light-colored shirt and stand out in the Sun, more light would be reflected and you would feel cooler than if you are wearing darker colors, which absorb more light and make you feel warmer.","",""
"Grade 6",1,9,"Greenhouse effect","A phenomenon in which greenhouse gases absorb the Earth`s energy and re-emit some of that energy back toward the Earth`s surface, providing additional warming of the Earth. Although the Sun`s energy is able to pass through the greenhouse gases, these same greenhouse gases trap the Earth`s outgoing energy.","",""
"Grade 6",1,9,"Greenhouse gas","A heat trapping gas in an atmosphere that absorbs and emits radiation within the thermal infrared range.","",""
"Grade 6",1,10,"Insulate","To reduce the transfer of heat through some protective materials. For example, a jacket can insulate a person from the cold.","Aislar","Reducir la transferencia de calor por la vía de materiales protectivos. Por ejemplo, una chaqueta puede aislar a una persona del frío."
"Grade 6",1,11,"Atmosphere","The gaseous envelope surrounding the earth; the air.","Atmósfera","La capa de gas que rodea a la Tierra."
"Grade 6",1,11,"Climate change","Changes in climate (temperature, rainfall, winds) of the past, present or future associated with natural or anthropogenic (human) factors.","Cambio Climático","Cambios en el clima (temperatura, lluvia, vientos) del pasado, presente o futuro asociados con factores naturales o antropogénicos (humanos)."
